MonthOfYear,DayOfWeek,HourOfDay,SupVentSpeed_AirHandling_System,ExhVentSp_AirHandling_System
1,6,2,3,3
1,6,2,4,3
1,6,2,4,3
1,6,2,4,3
1,6,3,4,3
1,6,3,4,3
1,6,3,4,3
1,6,3,4,3
1,6,3,4,3
1,6,3,4,3
1,6,3,4,3
1,6,4,4,3
1,6,4,3,3
1,6,4,4,3
1,6,4,4,3
1,6,4,4,3
1,6,4,3,3
1,6,4,4,3
1,6,4,4,3
1,6,5,4,3
1,6,5,4,3
1,6,5,4,3
1,6,5,4,3
1,6,5,3,3
1,6,5,4,3
1,6,5,4,3
1,6,6,4,3
1,6,6,3,3
1,6,6,4,3
1,6,6,4,3
1,6,6,4,3
1,6,6,4,3
1,6,6,3,3
1,6,6,4,3
1,6,7,4,3
1,6,7,3,3
1,6,7,4,3
1,6,7,4,3
1,6,7,4,3
1,6,7,4,3
1,6,7,4,3
1,6,8,4,3
1,6,8,4,3
1,6,8,4,3
1,6,8,4,3
1,6,8,3,3
1,6,8,4,3
1,6,8,4,3
1,6,8,4,3
1,6,9,4,3
1,6,9,3,3
1,6,9,3,3
1,6,9,4,3
1,6,9,3,3
1,6,9,4,3
1,6,9,3,3
1,6,10,4,3
1,6,10,4,3
1,6,10,4,3
1,6,10,4,3
1,6,10,4,3
1,6,10,3,3
1,6,10,4,3
1,6,10,3,3
1,6,11,4,3
1,6,11,3,3
1,6,11,4,3
1,6,11,4,3
1,6,11,1004,103
1,6,11,1154,403
1,6,11,1179,53
1,6,12,1182,34
1,6,12,1198,934
1,6,12,1200,1034
1,6,12,1199,1065
1,6,12,1204,1068
1,6,12,1203,1064
1,6,12,1204,1065
1,6,12,1204,1067
1,6,13,1205,1070
1,6,13,1203,1065
1,6,13,1204,1068
1,6,13,1208,1072
1,6,13,1204,1066
1,6,13,1203,966
1,6,13,1205,1066
1,6,14,1200,866
1,6,14,1198,812
1,6,14,1205,1062
1,6,14,1205,1064
1,6,14,1200,987
1,6,14,1203,1065
1,6,14,1202,1068
1,6,14,1202,1063
1,6,15,1203,1065
1,6,15,1202,1065
1,6,15,1204,1064
1,6,15,1204,1065
1,6,15,1203,1066
1,6,15,1204,1064
1,6,15,1202,1064
1,6,16,1202,1063
1,6,16,1201,1067
1,6,16,1194,617
1,6,16,1181,17
1,6,16,1184,71
1,6,16,1203,971
1,6,16,1202,1062
